"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;13;5;1;15;1;false;902;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;0;1;10;1;false;1126;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;1;1;14;1;false;4911;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;0;1;9;1;false;5707;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;7;1;1;1;true;751;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;5;1;16;1;false;693;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;1;1;6;1;false;3393;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;10;2;1;15;1;false;2206;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;14;6;1;16;1;false;719;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;14;6;1;2;1;false;599;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;11;3;1;1;1;true;1179;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;12;4;1;3;1;false;877;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;12;4;1;7;1;false;869;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;14;6;1;5;1;false;1000;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;14;6;1;10;1;false;935;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;6;1;14;1;false;690;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;11;3;1;15;1;false;979;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;2;1;9;1;false;677;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;10;2;1;11;1;false;1034;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;3;1;2;1;false;943;
