"Age";"Status";"Studies";"YearsOfExperience";version;direction;number_guards;position;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;2;1;4;4;true;1299;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;2;1;1;1;true;1269;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;2;1;6;6;true;772;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;4;1;3;3;true;2260;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;3;1;3;3;true;1033;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;2;1;6;3;false;823;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;4;1;4;4;true;878;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;1;1;7;7;true;984;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;5;1;1;1;true;1228;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;1;1;6;6;true;1191;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;3;2;1;9;9;true;936;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;1;1;9;9;true;1065;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;1;1;1;0;0;true;959;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;3;1;1;1;true;914;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;1;1;1;7;7;true;827;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;1;1;1;6;6;true;652;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;3;1;6;6;true;1083;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;1;1;1;5;5;true;696;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;3;1;4;4;true;1143;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;1;1;2;2;true;982;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;3;1;1;0;0;true;961;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;2;1;8;8;true;1415;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;1;1;9;9;true;856;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;3;1;8;9;false;726;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;1;1;1;4;4;true;814;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;2;1;0;0;true;956;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;2;1;3;3;true;1304;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;1;1;1;3;3;true;751;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;3;3;1;3;3;true;585;
