"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Feedback;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;_to_be_written_;1;9;1;false;1917;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;_to_be_written_;1;9;1;false;1406;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;4;1;_to_be_written_;1;4;1;false;1114;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;_to_be_written_;1;9;1;false;1510;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;_to_be_written_;1;2;1;false;600;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;2;3;_to_be_written_;1;2;1;false;562;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;1;4;_to_be_written_;1;1;1;true;1472;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;5;0;_to_be_written_;1;5;1;false;891;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;_to_be_written_;1;7;1;false;1564;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;7;2;_to_be_written_;1;7;1;false;1732;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;4;1;_to_be_written_;1;4;1;false;1268;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;_to_be_written_;1;7;1;false;1245;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;9;4;_to_be_written_;1;9;1;false;2399;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;_to_be_written_;1;8;1;false;1837;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;1;_to_be_written_;1;6;1;false;1222;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;_to_be_written_;1;7;1;false;1395;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;5;0;_to_be_written_;1;5;1;false;1174;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;_to_be_written_;1;7;1;false;2086;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;_to_be_written_;1;7;1;false;1443;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;7;2;_to_be_written_;1;7;1;false;1817;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;_to_be_written_;1;6;1;false;1751;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;5;0;_to_be_written_;1;5;1;false;1851;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;_to_be_written_;1;1;1;true;1821;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;3;2;_to_be_written_;1;3;1;false;997;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;_to_be_written_;1;9;1;false;1329;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;6;1;_to_be_written_;1;6;1;false;1067;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;3;2;_to_be_written_;1;3;1;false;1029;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;_to_be_written_;1;9;1;false;1699;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;_to_be_written_;1;8;1;false;1570;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;8;3;_to_be_written_;1;8;1;false;1818;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;9;4;_to_be_written_;1;9;1;false;1768;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;1;_to_be_written_;1;6;1;false;2138;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;5;0;_to_be_written_;1;5;1;false;2423;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;_to_be_written_;1;1;1;true;753;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;_to_be_written_;1;1;1;true;527;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;9;4;_to_be_written_;1;9;1;false;2007;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;_to_be_written_;1;1;1;true;727;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;2;3;_to_be_written_;1;2;1;false;751;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;3;_to_be_written_;1;2;1;false;544;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;4;1;_to_be_written_;1;4;1;false;1225;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;_to_be_written_;1;6;1;false;1634;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;5;0;_to_be_written_;1;5;1;false;1350;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;2;3;_to_be_written_;1;2;1;false;677;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;8;3;_to_be_written_;1;8;1;false;1717;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;2;3;_to_be_written_;1;2;1;false;600;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;_to_be_written_;1;3;1;false;560;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;_to_be_written_;1;8;1;false;1529;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;7;2;_to_be_written_;1;7;1;false;1781;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;5;0;_to_be_written_;1;5;1;false;1096;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;4;1;_to_be_written_;1;4;1;false;737;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;_to_be_written_;1;6;1;false;1373;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;2;3;_to_be_written_;1;2;1;false;522;
